日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,陽性容器戶內,陽性容器戶外,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2015/10/18,台南市,永康區,中興里,住宅,86,2,20,17,1,1,2,1,5,2,23.006,120.238
2015/10/18,台南市,永康區,大橋里,住宅,58,1,10,3,0,1,2,1,8,3,23.019,120.23
2015/10/18,台南市,永康區,西勢里,住宅,82,2,9,9,0,2,2,1,11,4,23.015,120.277
2015/10/18,台南市,永康區,西勢里,住宅,100,1,0,3,0,1,1,1,33,8,23.015,120.277
2015/10/18,台南市,北　區,永祥里,住宅,193,3,26,4,0,3,2,1,10,4,23.016,120.22
2015/10/18,台南市,北　區,正覺里,住宅,132,1,24,21,1,0,1,1,2,1,23.015,120.212
2015/10/18,台南市,北　區,永祥里,住宅,198,1,52,17,1,0,1,1,1,1,23.016,120.22
2015/10/18,台南市,安平區,國平里,住宅,131,1,30,85,0,1,1,1,1,1,22.979,120.168
2015/10/19,台南市,東　區,東明里,住宅,225,1,32,51,1,0,0,1,1,1,22.992,120.227
2015/10/19,台南市,東　區,崇信里,住宅,82,1,12,13,0,1,1,1,4,2,22.981,120.227
2015/10/19,台南市,東　區,和平里,住宅,71,1,3,10,0,1,1,1,8,3,22.975,120.235
2015/10/19,台南市,東　區,仁和里,住宅,50,2,0,26,0,8,16,3,31,7,22.97,120.236
2015/10/19,台南市,中西區,法華里,住宅,303,1,24,16,1,0,0,1,3,1,22.982,120.21
2015/10/19,台南市,南　區,喜北里,住宅,134,2,35,19,1,1,1,1,4,2,22.949,120.178
2015/10/20,台南市,永康區,三合里,住宅,154,1,25,3,0,1,1,1,4,2,23.011,120.239
2015/10/20,台南市,北　區,大豐里,住宅,289,2,53,21,2,0,1,1,3,2,23.008,120.192
2015/10/20,台南市,北　區,國興里,住宅,228,1,31,27,0,1,0,1,2,1,23.009,120.226
2015/10/20,台南市,中西區,三合里,住宅,105,1,12,2,1,0,1,1,7,3,23,120.196
2015/10/20,台南市,安平區,金城里,住宅,94,3,24,14,3,0,3,1,8,3,22.995,120.149
2015/10/20,台南市,永康區,六合里,住宅,50,1,1,23,1,0,2,1,4,2,23.011,120.23
2015/10/21,台南市,北　區,玉皇里,住宅,168,1,22,19,4,0,2,1,10,4,23,120.207
2015/10/21,台南市,北　區,大和里,住宅,360,1,51,26,0,1,0,1,1,1,23.015,120.191
2015/10/21,台南市,中西區,郡西里,住宅,84,1,69,15,0,1,1,1,1,1,22.989,120.194
2015/10/21,台南市,永康區,六合里,住宅,111,1,15,14,0,1,1,1,3,2,23.011,120.23
2015/10/21,台南市,永康區,西橋里,住宅,291,1,55,42,0,1,0,1,1,1,23.013,120.226
2015/10/21,台南市,東　區,新東里,住宅,310,1,38,63,0,1,0,1,1,1,22.987,120.225
2015/10/21,台南市,東　區,崇德里,住宅,247,1,64,59,0,2,1,1,2,1,22.975,120.226
2015/10/22,台南市,東　區,仁和里,住宅,165,1,17,25,0,1,1,1,2,1,22.97,120.236
2015/10/22,台南市,東　區,泉南里,住宅,199,1,41,19,0,1,1,1,2,1,22.985,120.216
2015/10/22,台南市,北　區,元寶里,住宅,239,1,21,12,0,1,0,1,3,2,23.011,120.224
2015/10/22,台南市,安平區,平安里,住宅,112,1,53,33,1,0,1,1,1,1,22.999,120.173
2015/10/22,台南市,永康區,勝利里,住宅,67,1,3,17,0,1,1,1,5,2,23.005,120.233
2015/10/22,台南市,北　區,重興里,住宅,100,2,0,10,0,4,4,1,40,8,23.004,120.226
2015/10/22,台南市,東　區,關聖里,住宅,323,2,42,34,0,2,1,1,3,2,22.986,120.242
2015/10/22,台南市,東　區,後甲里,住宅,247,1,31,63,1,0,0,1,1,1,22.993,120.238
2015/10/22,台南市,東　區,仁和里,住宅,190,1,4,21,0,1,1,1,4,2,22.97,120.236
2015/10/23,台南市,南　區,府南里,住宅,70,3,20,16,0,3,4,1,8,3,22.972,120.195
2015/10/23,台南市,安平區,西門里,住宅,31,2,0,3,0,3,10,3,100,9,23.002,120.155
2015/10/23,台南市,東　區,自強里,住宅,333,1,33,39,0,2,1,1,3,2,22.982,120.233
2015/10/23,台南市,東　區,和平里,住宅,50,4,0,25,0,5,10,3,20,5,22.975,120.235
2015/10/23,台南市,中西區,水仙里,住宅,273,3,60,28,2,1,1,1,3,2,22.996,120.199
2015/10/23,台南市,永康區,東橋里,住宅,191,3,38,63,0,3,2,1,3,2,23.024,120.241
2015/10/23,台南市,北　區,成德里,住宅,226,2,22,23,1,1,1,1,4,2,23.013,120.204
2015/10/23,台南市,東　區,崇成里,住宅,191,1,49,29,0,1,1,1,1,1,22.971,120.229
2015/10/24,台南市,南　區,新昌里,住宅,18,2,2,7,2,0,11,3,22,6,22.984,120.196
2015/10/24,台南市,永康區,鹽洲里,住宅,97,3,63,36,0,3,3,1,3,2,23.044,120.235
2015/10/24,台南市,永康區,中華里,住宅,164,5,33,14,1,4,3,1,11,4,23,120.238
2015/10/24,台南市,永康區,復國里,住宅,91,1,14,23,1,0,1,1,3,2,23.006,120.247
2015/10/24,台南市,北　區,開元里,住宅,213,1,13,16,0,1,0,1,3,2,23.013,120.222
2015/10/24,台南市,北　區,仁愛里,住宅,358,3,20,25,2,1,1,1,7,3,23.003,120.22
2015/10/24,台南市,東　區,富強里,住宅,51,2,3,7,1,1,4,1,20,5,22.987,120.232
2015/10/24,台南市,東　區,大同里,住宅,87,1,14,10,0,1,1,1,4,2,22.984,120.213
2015/10/24,台南市,東　區,大同里,住宅,139,2,49,18,3,0,2,1,4,2,22.984,120.213
2015/10/25,台南市,中西區,進學里,住宅,253,5,48,77,1,6,3,1,6,3,22.988,120.202
